MB,t,tsq,Day of Week_1,Day of Week_2,Day of Week_3,Day of Week_4,Day of Week_5,Day of Week_6
3562.279127,1,1,0,1,0,0,0,0
3710.215571,2,4,0,1,0,0,0,0
3877.469703,3,9,0,1,0,0,0,0
3876.354871,4,16,0,1,0,0,0,0
4582.542581,5,25,0,1,0,0,0,0
5016.336869,6,36,0,1,0,0,0,0
5202.513642,7,49,0,1,0,0,0,0
5410.604985,8,64,0,1,0,0,0,0
5408.07132,9,81,0,1,0,0,0,0
5598.04888,10,100,0,1,0,0,0,0
5268.183974,11,121,0,1,0,0,0,0
5205.96591,12,144,0,1,0,0,0,0
5554.284558,13,169,0,1,0,0,0,0
6071.804752,14,196,0,1,0,0,0,0
6533.409311,15,225,0,1,0,0,0,0
6432.612096,16,256,0,1,0,0,0,0
6422.634291,17,289,0,1,0,0,0,0
6413.343245,18,324,0,1,0,0,0,0
6438.472853,19,361,0,1,0,0,0,0
6593.321117,20,400,0,1,0,0,0,0
6386.798311,21,441,0,1,0,0,0,0
6402.829429,22,484,0,1,0,0,0,0
6448.640206,23,529,0,1,0,0,0,0
6758.012799,24,576,0,1,0,0,0,0
6897.537181,25,625,0,1,0,0,0,0
6625.683956,26,676,0,1,0,0,0,0
6786.593033,27,729,0,1,0,0,0,0
6741.090851,28,784,0,1,0,0,0,0
6857.892154,29,841,0,1,0,0,0,0
6885.633911,30,900,0,1,0,0,0,0
7036.186201,31,961,0,1,0,0,0,0
7182.820092,32,1024,0,1,0,0,0,0
6897.783063,33,1089,0,1,0,0,0,0
6802.926206,34,1156,0,1,0,0,0,0
6856.304069,35,1225,0,1,0,0,0,0
6963.587768,36,1296,0,1,0,0,0,0
7283.56523,37,1369,0,1,0,0,0,0
7294.355973,38,1444,0,1,0,0,0,0
7277.773691,39,1521,0,1,0,0,0,0
7327.652118,40,1600,0,1,0,0,0,0
7411.935065,41,1681,0,1,0,0,0,0
7559.621824,42,1764,0,1,0,0,0,0
7464.144357,43,1849,0,1,0,0,0,0
7556.335967,44,1936,0,1,0,0,0,0
7531.158925,45,2025,0,1,0,0,0,0
7451.588318,46,2116,0,1,0,0,0,0
7251.552599,47,2209,0,1,0,0,0,0
7387.311025,48,2304,0,1,0,0,0,0
7534.902212,49,2401,0,1,0,0,0,0
7669.462738,50,2500,0,1,0,0,0,0
7806.347806,51,2601,0,1,0,0,0,0
7633.844064,52,2704,0,1,0,0,0,0
7666.925195,53,2809,0,1,0,0,0,0
7520.164584,54,2916,0,1,0,0,0,0
