MB,t,tsq,Day of Week_1,Day of Week_2,Day of Week_3,Day of Week_4,Day of Week_5,Day of Week_6,Lag1,Lag2,Lag3,Lag4,Lag5,Lag6,Lag7,Lag8,Lag9,Lag10,Lag11,Lag12,Lag13,Lag14,Lag15
3562.279127,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3710.215571,2,4,0,1,0,0,0,0,3562.279127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3877.469703,3,9,0,1,0,0,0,0,3710.215571,3562.279127,0,0,0,0,0,0,0,0,0,0,0,0,0
3876.354871,4,16,0,1,0,0,0,0,3877.469703,3710.215571,3562.279127,0,0,0,0,0,0,0,0,0,0,0,0
4582.542581,5,25,0,1,0,0,0,0,3876.354871,3877.469703,3710.215571,3562.279127,0,0,0,0,0,0,0,0,0,0,0
5016.336869,6,36,0,1,0,0,0,0,4582.542581,3876.354871,3877.469703,3710.215571,3562.279127,0,0,0,0,0,0,0,0,0,0
5202.513642,7,49,0,1,0,0,0,0,5016.336869,4582.542581,3876.354871,3877.469703,3710.215571,3562.279127,0,0,0,0,0,0,0,0,0
5410.604985,8,64,0,1,0,0,0,0,5202.513642,5016.336869,4582.542581,3876.354871,3877.469703,3710.215571,3562.279127,0,0,0,0,0,0,0,0
5408.07132,9,81,0,1,0,0,0,0,5410.604985,5202.513642,5016.336869,4582.542581,3876.354871,3877.469703,3710.215571,3562.279127,0,0,0,0,0,0,0
5598.04888,10,100,0,1,0,0,0,0,5408.07132,5410.604985,5202.513642,5016.336869,4582.542581,3876.354871,3877.469703,3710.215571,3562.279127,0,0,0,0,0,0
5268.183974,11,121,0,1,0,0,0,0,5598.04888,5408.07132,5410.604985,5202.513642,5016.336869,4582.542581,3876.354871,3877.469703,3710.215571,3562.279127,0,0,0,0,0
5205.96591,12,144,0,1,0,0,0,0,5268.183974,5598.04888,5408.07132,5410.604985,5202.513642,5016.336869,4582.542581,3876.354871,3877.469703,3710.215571,3562.279127,0,0,0,0
5554.284558,13,169,0,1,0,0,0,0,5205.96591,5268.183974,5598.04888,5408.07132,5410.604985,5202.513642,5016.336869,4582.542581,3876.354871,3877.469703,3710.215571,3562.279127,0,0,0
6071.804752,14,196,0,1,0,0,0,0,5554.284558,5205.96591,5268.183974,5598.04888,5408.07132,5410.604985,5202.513642,5016.336869,4582.542581,3876.354871,3877.469703,3710.215571,3562.279127,0,0
6533.409311,15,225,0,1,0,0,0,0,6071.804752,5554.284558,5205.96591,5268.183974,5598.04888,5408.07132,5410.604985,5202.513642,5016.336869,4582.542581,3876.354871,3877.469703,3710.215571,3562.279127,0
6432.612096,16,256,0,1,0,0,0,0,6533.409311,6071.804752,5554.284558,5205.96591,5268.183974,5598.04888,5408.07132,5410.604985,5202.513642,5016.336869,4582.542581,3876.354871,3877.469703,3710.215571,3562.279127
6422.634291,17,289,0,1,0,0,0,0,6432.612096,6533.409311,6071.804752,5554.284558,5205.96591,5268.183974,5598.04888,5408.07132,5410.604985,5202.513642,5016.336869,4582.542581,3876.354871,3877.469703,3710.215571
6413.343245,18,324,0,1,0,0,0,0,6422.634291,6432.612096,6533.409311,6071.804752,5554.284558,5205.96591,5268.183974,5598.04888,5408.07132,5410.604985,5202.513642,5016.336869,4582.542581,3876.354871,3877.469703
